filecode,wave,canonical_name,variable_type,value_raw,value_numeric,value_label,is_missing,conflicts
z010,J,separ,categorical,partner in hospital | nursing home(1),1,partner in hospital | nursing home,FALSE,
z010,J,separ,categorical,R in hospital/nursing home(2),2,R in hospital/nursing home,FALSE,
z010,J,separ,categorical,partner elsewhere (e.g. employment; practical reasons)(3),3,partner elsewhere (e.g. employment; practical reasons),FALSE,
z010,J,separ,categorical,R elsewhere (e.g. employment; practical reasons)(4),4,R elsewhere (e.g. employment; practical reasons),FALSE,
z010,J,separ,categorical,other (relationship exists)(5),5,other (relationship exists),FALSE,
z010,J,separ,categorical,relationship broken(6),6,relationship broken,FALSE,
z010,J,separ,categorical,other(7),7,other,FALSE,
z010,J,separ,categorical,wants to live alone / values individual privacy(8),8,wants to live alone / values individual privacy,FALSE,
z010,J,separ,categorical,political refugee(9),9,political refugee,FALSE,
z010,J,separ,categorical,"wife abroad, no house(10)",10,"wife abroad, no house",FALSE,
z010,J,separ,categorical,"wife abroad, waiting for reunification(11)",11,"wife abroad, waiting for reunification",FALSE,
z010,J,partner,categorical,no observation birth cohorts 1948-1957(-9),-9,no observation birth cohorts 1948-1957,TRUE,
z010,J,partner,categorical,no observation birth cohorts 1938-1947(-8),-8,no observation birth cohorts 1938-1947,TRUE,
z010,J,partner,categorical,no observation birth cohorts 1903-1908(-7),-7,no observation birth cohorts 1903-1908,TRUE,
z010,J,partner,categorical,sample attrition(-6),-6,sample attrition,TRUE,
z010,J,partner,categorical,unknown(-1),-1,unknown,TRUE,
z010,J,partner,categorical,no partner(0),0,no partner,FALSE,
z010,J,partner,categorical,partner (co-residence)(1),1,partner (co-residence),FALSE,
z010,J,partner,categorical,partner (outside household)(2),2,partner (outside household),FALSE,
z010,K,marst,categorical,no observation birth cohorts 1948-1957(-9),-9,no observation birth cohorts 1948-1957,TRUE,
z010,K,marst,categorical,no observation birth cohorts 1938-1947(-8),-8,no observation birth cohorts 1938-1947,TRUE,
z010,K,marst,categorical,no observation birth cohorts 1903-1908(-7),-7,no observation birth cohorts 1903-1908,TRUE,
z010,K,marst,categorical,sample attrition(-6),-6,sample attrition,TRUE,
z010,K,marst,categorical,unknown(-1),-1,unknown,TRUE,
z010,K,marst,categorical,never married(1),1,never married,FALSE,
z010,K,marst,categorical,married(2),2,married,FALSE,
z010,K,marst,categorical,divorced(3),3,divorced,FALSE,
z010,K,marst,categorical,widowhood(4),4,widowhood,FALSE,
z010,K,marst,categorical,registered partnership (~married)(5),5,registered partnership (~married),FALSE,
z010,K,partst,categorical,no observation birth cohorts 1948-1957(-9),-9,no observation birth cohorts 1948-1957,TRUE,
z010,K,partst,categorical,no observation birth cohorts 1938-1947(-8),-8,no observation birth cohorts 1938-1947,TRUE,
z010,K,partst,categorical,no observation birth cohorts 1903-1908(-7),-7,no observation birth cohorts 1903-1908,TRUE,
z010,K,partst,categorical,sample attrition(-6),-6,sample attrition,TRUE,
z010,K,partst,categorical,unknown(-1),-1,unknown,TRUE,
z010,K,partst,categorical,no partner(0),0,no partner,FALSE,
